Ticket_No,Title,Description,Category,Priority,Department,Status,Resolution_Time_Hours,Arising_Date,Closing_Date,Sentiment_Label,Is_Resolved,Resolution_Speed,SLA_Status,Month,Year,Quarter,Weekday,Priority_Score,Description_Length,Word_Count
GSSA1344275051,documnets deleted,some of my word docs have been deleted kindly recover them,Issue,Low,IT Support,Closed,225.0,2025-09-20 07:33:32,2025-09-29 16:33:32,Urgent,True,Slow,Breached,September,2025,3,Saturday,1,58,11
GSSA1053785050,dump cartridge,pls dump one cartridge at /dumpdir/INPUT/AP152,Tape RW,Medium,Applications,Closed,113.0,2023-06-22 22:43:23,2023-06-27 15:43:23,Neutral,True,Slow,Breached,June,2023,2,Thursday,2,46,6
GSSA1219105049,no license available for petrel,no license available for petrel,Issue,Critical,Infrastructure,Closed,151.0,2023-02-08 20:28:06,2023-02-15 03:28:06,Neutral,True,Slow,Breached,February,2023,1,Wednesday,4,31,5
GSSA10025048,"Creation of Linux user for John Smith, SG (Wells), CPF: 12345","Creation of Linux user for Smith, SG (Wells), CPF: 12345 (Transferred from Nazira) to access Geolog software",User CUDA,High,Security,Closed,55.0,2024-03-03 05:50:10,2024-03-05 12:50:10,Frustrated,True,Medium,Within SLA,March,2024,1,Sunday,3,108,17
GSSA10025047,Restoration of Landmark projects,Restoration of Landmark projects,Backup Restore,Low,Applications,Closed,18.0,2024-01-16 10:13:48,2024-01-17 04:13:48,Satisfied,True,Fast,Within SLA,January,2024,1,Tuesday,1,32,4
GSSA948195046,Plotter Paper Roll may be installed,"SIr/Madam Paper roll in Plotter of 34th Floor ,3A- Wing is finished. Kindly install new paper roll. thanks spsingh",Issue,High,Data Center,Resolved,157.0,2023-12-13 17:53:58,2023-12-20 06:53:58,Satisfied,True,Slow,Breached,December,2023,4,Wednesday,3,114,19
GSSA1219105045,system is producing strange noise,system is producing strange noise,Issue,Critical,Security,Closed,146.0,2023-08-05 18:21:03,2023-08-11 20:21:03,Frustrated,True,Slow,Breached,August,2023,3,Saturday,4,33,5
GSSA948195044,Install printer for windows workstation,Sir Install printer for windows workstation thanks spsingh,Software Installation,High,Security,In Progress,0.0,2023-06-09 05:17:49,,Frustrated,False,Unresolved,Within SLA,June,2023,2,Friday,3,58,8
GSSA1344275043,Plotter of 34th Floor a wing,Plotter of 34th Floor A wing is not working properly.,Issue,Medium,Infrastructure,Closed,86.0,2025-11-17 05:11:07,2025-11-20 19:11:07,Urgent,True,Slow,Breached,November,2025,4,Monday,2,53,10
GSSA920555042,VALERIA Machines are extremely slow,"workstation80, workstation59 machines are extremely slow. Kindly do the need full asap.",Issue,Low,Data Center,Closed,113.0,2025-04-27 04:44:17,2025-05-01 21:44:17,Frustrated,True,Slow,Breached,April,2025,2,Sunday,1,87,12
